flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23705525362,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","592",,Apple,iPhone 6s,4.200000000000000,"0",7.155182073000000,392.028653299999974
23731489631,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","6","5644",,Apple,iPhone 6s,4.200000000000000,"0",225.469072199999999,390.580785999999989
23787845886,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","585",,Apple,iPhone 6s,4.200000000000000,"0",160.409420299999994,390.559633000000019
23187148373,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","723",,Apple,iPhone 6s,4.200000000000000,"0",168.738636399999990,390.176724100000001
21923924861,13042951@N00,787europa,2016-10-06,2015-07-03,"1","1","675",,Apple,iPhone 4S,4.300000000000000,"0",262.884892100000002,417.000000000000000
21291466344,13042951@N00,802europa,2016-10-06,2015-07-04,"1","6","5686",,Apple,iPhone 4S,4.300000000000000,"0",74.996794870000002,417.000000000000000
21923909661,13042951@N00,806europa,2016-10-06,2015-07-04,"1","1","718",,Apple,iPhone 4S,4.300000000000000,"0",173.708791200000007,417.000000000000000
20949820898,49646628@N00,,2016-10-06,2015-09-04,"1","6","5794",,Apple,iPhone 4S,4.300000000000000,"0",300.475409800000023,436.000000000000000
27330979333,131571153@N07,,2016-10-06,2015-06-03,"1","8","7127",,Apple,iPhone 5s,4.100000000000000,"0",2.599440117000000,423.719696999999996
27331312094,131571153@N07,,2016-10-06,2015-06-03,"1","8","7231",,Apple,iPhone 5s,4.100000000000000,"0",260.049132900000018,410.740113000000008
27865816411,131571153@N07,,2016-10-06,2015-06-03,"1","8","7408",,Apple,iPhone 5s,4.100000000000000,"0",97.584946239999994,421.732142899999985
27328209743,131571153@N07,,2016-10-06,2015-06-03,"1","8","7241",,Apple,iPhone 5s,4.100000000000000,"0",196.078740199999999,419.392307700000003
27861842521,131571153@N07,,2016-10-06,2015-06-03,"1","8","7076",,Apple,iPhone 5s,4.100000000000000,"0",141.250401299999993,419.675126900000009
23940101675,96818645@N04,,2016-10-06,2015-05-08,"1","2","1474",,Apple,iPhone 6,4.200000000000000,"0",220.003846199999998,414.439024399999994
23857470221,96818645@N04,,2016-10-06,2015-05-08,"1","6","5673",,Apple,iPhone 6,4.200000000000000,"0",346.850515499999972,416.538359800000023
23187147883,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","597",,Apple,iPhone 6s,4.200000000000000,"0",264.372881399999983,387.513513499999988
23518254800,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","603",,Apple,iPhone 6s,4.200000000000000,"0",153.846890000000002,385.934782600000005
23445980119,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","6","5741",,Apple,iPhone 6s,4.200000000000000,"0",280.934482800000012,384.868055599999991
23445979449,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","6","5712",,Apple,iPhone 6s,4.200000000000000,"0",294.563535899999977,384.832116799999994
23187144053,57615963@N06,Downtown Geneva,2016-10-06,2015-12-07,"1","1","685",,Apple,iPhone 6s,4.200000000000000,"0",268.826625400000012,384.668789800000013
23731483461,57615963@N06,WTO in Geneva,2016-10-06,2015-12-07,"1","6","5743",,Apple,iPhone 6s,4.200000000000000,"0",348.508928599999990,385.664122099999986
23185813744,57615963@N06,WTO in Geneva,2016-10-06,2015-12-07,"1","6","5720",,Apple,iPhone 6s,4.200000000000000,"0",77.407317070000005,384.185840700000028
23813934555,57615963@N06,WTO in Geneva,2016-10-06,2015-12-07,"1","6","5828",,Apple,iPhone 6s,4.200000000000000,"0",23.063596489999998,384.194915299999991
23787837976,57615963@N06,WTO in Geneva,2016-10-06,2015-12-07,"1","1","636",,Apple,iPhone 6s,4.200000000000000,"0",71.238193019999997,415.343612300000018
23813933025,57615963@N06,WTO in Geneva,2016-10-06,2015-12-07,"1","1","748",,Apple,iPhone 6s,4.200000000000000,"0",91.945288750000003,424.852380999999980
23445974969,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","733",,Apple,iPhone 6s,4.200000000000000,"0",62.998870060000002,404.079646000000025
23518247540,57615963@N06,Geneva Botanical Gardens,2016-10-06,2015-12-07,"1","1","756",,Apple,iPhone 6s,4.200000000000000,"0",69.333221359999996,415.000000000000000
