osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"8587783","5141",service,,,B,"0","0",F,F,63.533240901554265,33.072925672388415,"25"
"8587784","5141",service,,,B,"0","0",F,F,106.199525819449761,307.221280689321645,"318"
"8599788","5141",service,,,B,"0","0",F,F,14.863019897262745,187.097527564896666,"185"
"8599790","5122",residential,Chemin de Verdonnet,,B,"30","0",F,F,103.159113920059099,111.066321732451541,"120"
"8599791","5141",service,Chemin des Lys,,B,"0","0",F,F,46.871425080838677,41.487537871015867,"32"
"8599792","5122",residential,Chemin de Mont-Paisible,,B,"30","0",F,F,122.422383377291368,274.313517978916536,"277"
"8599793","5122",residential,Avenue de Beaumont,,F,"30","0",F,F,190.306500609753783,6.003255368381554,"5"
"8599794","5141",service,Chemin des Lys,,B,"30","0",F,F,114.709631113830071,55.551384959820439,"46"
"8599802","5141",service,,,B,"30","0",F,F,136.646204611699403,288.533158098954118,"296"
"8599803","5141",service,,,B,"0","0",F,F,85.969591782809019,244.034333444887807,"235"
"8599804","5122",residential,Chemin de Verdonnet,,B,"30","0",F,F,93.609818875492280,206.687824703121549,"200"
"8599805","5122",residential,Avenue de la Dôle,,B,"30","0",F,F,274.998889580334662,168.816111893970714,"173"
"8599806","5141",service,,,B,"0","0",F,F,10.102320235310190,291.228967561952231,"300"
"8599807","5141",service,,,B,"0","0",F,F,54.035587092660236,224.315461710147559,"214"
"8599808","5141",service,,,B,"0","0",F,F,137.079755637890429,186.396949267892808,"185"
"8599812","5141",service,,,B,"0","0",F,F,10.005028698344912,7.944776298184241,"6"
"8599813","5141",service,Avenue de Beaumont,,B,"0","0",F,F,106.147465913669564,76.540074289842963,"71"
"8599814","5141",service,Avenue de Beaumont,,B,"0","0",F,F,35.798082959194247,100.203523774178521,"105"
"8599815","5122",residential,Avenue Montagibert,,F,"30","0",F,F,386.966541946426673,93.179453277251440,"95"
"8599817","5122",residential,Avenue de Beaumont,,F,"30","0",F,F,140.360081089690851,6.990716079303271,"5"
"8599818","5122",residential,Avenue de Beaumont,,B,"30","0",F,F,256.881232269170880,13.796706712312050,"10"
"8599827","5113",primary,Avenue de la Sallaz,"1",B,"50","0",F,F,170.578896840892895,28.434139207598328,"21"
"8654645","5141",service,,,B,"0","0",F,F,8.227153483373771,274.765694535599891,"277"
"8656862","5141",service,,,B,"0","0",F,F,46.344929535438219,220.454158638599779,"211"
"8772852","5115",tertiary,Avenue Victor-Ruffy,,B,"50","0",F,F,33.778575544328859,113.380583316078997,"123"
"8772859","5141",service,,,B,"0","0",F,F,67.350361072068523,173.167294559617090,"176"
"8772860","5141",service,Chemin de la Grangette,,B,"30","0",F,F,80.983058101956871,14.090019955503317,"10"
"8772862","5141",service,Chemin de la Grangette,,B,"30","0",F,F,120.012106384763200,8.113884640598597,"6"
"8772864","5141",service,Avenue Victor-Ruffy,,B,"0","0",F,F,149.316365083704994,72.338272023594683,"66"
"8772867","5122",residential,Chemin de Champ-Rond,,B,"30","0",F,F,110.662276632383197,53.785465707774264,"44"
"8772869","5122",residential,Chemin de la Grangette,,F,"30","0",F,F,245.207240184566558,266.648564385441830,"266"
"8772870","5122",residential,Chemin du Muveran,,B,"30","0",F,F,141.469481127071589,92.708993540172642,"94"
"8772872","5122",residential,Avenue du Temple,,B,"0","0",F,F,489.848622134515153,141.774263992628562,"152"
"8772878","5122",residential,Chemin de Champ-Rond,,F,"30","0",F,F,161.217092502939522,195.422363599268294,"191"
"8772879","5122",residential,Chemin de Champ-Rond,,B,"30","0",F,F,67.631081348739286,34.677052156213421,"26"
"8772880","5141",service,,,B,"0","0",F,F,46.155724592555345,79.425245983329702,"75"
"8772882","5122",residential,Chemin des Mayoresses,,B,"30","0",F,F,69.426239598684191,275.460925682064556,"278"
"8772883","5141",service,Chemin des Mayoresses,,B,"30","0",F,F,199.562838172460289,321.838459795210952,"332"
"8772889","5122",residential,Chemin du Point-du-Jour,,B,"30","0",F,F,206.822608744244150,138.192341369674608,"149"
